"name","release","popularity"
"Spider-Man: Into the Spider-Verse","2018-12-06",41.604
"The Grinch","2018-11-08",40.261
"A Star Is Born","2018-10-03",37.114
"Bohemian Rhapsody","2018-10-24",46.625
"Ralph Breaks the Internet","2018-11-20",27.446
"Mortal Engines","2018-11-27",25.828
"Aquaman","2018-12-07",29.835
"Fantastic Beasts: The Crimes of Grindelwald","2018-11-14",31.701
"Bumblebee","2018-12-15",35.736
"Halloween","2018-10-18",19.968
"葉問外傳：張天志","2018-12-20",25.312
"Robin Hood","2018-11-21",27.95
"Green Book","2018-11-16",28.08
"Creed II","2018-11-21",21.825
"American Kamasutra","2018-12-13",16.409
"Ride","2018-10-05",10.21
"The Hate U Give","2018-10-19",19.812
"The Mule","2018-12-14",21.758
"Wild and Free","2018-10-10",20.551
"Mary Poppins Returns","2018-12-13",21.35
"Hunter Killer","2018-10-19",18.622
"Bird Box","2018-12-13",18.231
"The Nutcracker and the Four Realms","2018-10-26",18.872
"功夫联盟","2018-10-19",16.813
"Vice","2018-12-25",15.784
"According to Matthew","2018-11-24",12.355
"Overlord","2018-11-01",17.148
"The Princess Switch","2018-11-16",20.53
"The Girl in the Spider's Web","2018-10-25",15.33
"First Man","2018-10-11",19.397
"The Favourite","2018-11-23",19.98
"Suspiria","2018-10-11",20.438
"The Christmas Chronicles","2018-11-22",20.616
"Ladies in Black","2018-10-18",6.826
"Widows","2018-11-06",14.587
"Re:ゼロから始める異世界生活 Memory Snow","2018-10-06",15.433
"Mowgli: Legend of the Jungle","2018-11-25",13.288
"Death Race: Beyond Anarchy","2018-10-02",20.411
"Replicas","2018-10-25",16.07
"Instant Family","2018-11-16",18.308
"They Shall Not Grow Old","2018-12-17",11.58
"The Ballad of Buster Scruggs","2018-11-09",15.472
"A Christmas Prince: The Royal Wedding","2018-11-30",14.046
"Welcome to Marwen","2018-12-21",16.275
"Holmes & Watson","2018-12-25",13.716
"The Scorpion King: Book of Souls","2018-10-23",10.065
"Ang Pangarap Kong Holdap","2018-11-28",13.774
"Bad Times at the El Royale","2018-10-04",15.434
"High Life","2018-11-07",12.962
"Kursk","2018-11-07",9.362
"Goosebumps 2: Haunted Halloween","2018-10-11",14.57
"Arctic","2018-11-21",12.679
